,ID,Date,TEMP,pH,TURB,FECALCOLI,NO3N,TP,Label,WQI
58,1979-04-01IND00010,1979-04-01,0.0,67.0,57.0,98.0,97.0,98.0,3,71.24193548387096
59,1979-04-01IND00011,1979-04-01,0.0,82.0,76.0,98.0,97.0,98.0,3,76.35483870967741
60,1979-04-01IND00012,1979-04-01,15.0,67.0,76.0,98.0,97.0,98.0,3,76.11290322580645
61,1979-04-01IND00028,1979-04-01,0.0,67.0,76.0,98.0,97.0,98.0,3,73.69354838709675
62,1979-04-01IND00029,1979-04-01,0.0,47.0,53.0,98.0,97.0,98.0,2,67.17741935483869
63,1979-04-17IND00002,1979-04-17,12.0,90.0,84.0,2.0,97.0,98.0,2,55.967741935483865
64,1979-04-24IND00007,1979-04-24,10.0,67.0,84.0,10.0,97.0,98.0,2,53.629032258064505
65,1979-04-28IND00004,1979-04-28,10.0,67.0,84.0,2.0,97.0,98.0,2,51.56451612903225
66,1979-04-29IND00001,1979-04-29,15.0,67.0,84.0,13.0,97.0,98.0,2,55.20967741935483
67,1979-05-01IND00009,1979-05-01,0.0,47.0,76.0,98.0,97.0,98.0,3,70.14516129032258
68,1979-05-01IND00010,1979-05-01,0.0,19.0,84.0,98.0,97.0,98.0,2,66.20967741935482
69,1979-05-01IND00011,1979-05-01,0.0,82.0,62.0,98.0,97.0,98.0,3,74.54838709677418
70,1979-05-01IND00012,1979-05-01,18.0,47.0,68.0,98.0,97.0,98.0,3,72.01612903225805
71,1979-05-01IND00028,1979-05-01,18.0,67.0,62.0,98.0,97.0,98.0,3,74.79032258064514
72,1979-05-01IND00029,1979-05-01,10.0,67.0,53.0,63.0,97.0,98.0,2,63.30645161290322
73,1979-05-11IND00004,1979-05-11,0.0,47.0,84.0,63.0,97.0,98.0,2,62.14516129032257
74,1979-05-15IND00002,1979-05-15,12.0,82.0,84.0,2.0,97.0,98.0,2,54.548387096774185
75,1979-05-20IND00001,1979-05-20,15.0,67.0,84.0,53.0,97.0,98.0,2,65.53225806451613
76,1979-05-28IND00007,1979-05-28,0.0,67.0,84.0,80.0,97.0,98.0,3,70.08064516129032
77,1979-06-01IND00011,1979-06-01,10.0,67.0,57.0,98.0,97.0,98.0,3,72.85483870967741
78,1979-06-01IND00012,1979-06-01,15.0,67.0,62.0,98.0,97.0,98.0,3,74.30645161290322
79,1979-06-01IND00028,1979-06-01,0.0,47.0,76.0,98.0,97.0,98.0,3,70.14516129032258
80,1979-06-18IND00002,1979-06-18,0.0,90.0,84.0,2.0,97.0,98.0,2,54.03225806451612
81,1979-06-27IND00001,1979-06-27,10.0,67.0,84.0,27.0,97.0,98.0,2,58.01612903225805
82,1979-07-01IND00011,1979-07-01,21.0,67.0,68.0,98.0,97.0,98.0,3,76.04838709677418
83,1979-07-01IND00012,1979-07-01,12.0,67.0,62.0,98.0,97.0,98.0,3,73.82258064516128
84,1979-07-01IND00028,1979-07-01,0.0,82.0,84.0,98.0,97.0,98.0,3,77.38709677419352
85,1979-07-20IND00007,1979-07-20,10.0,67.0,84.0,2.0,97.0,98.0,2,51.56451612903225
86,1979-07-30IND00004,1979-07-30,0.0,47.0,84.0,3.0,97.0,98.0,1,46.66129032258063
87,1979-08-01IND00010,1979-08-01,0.0,90.0,5.0,98.0,97.0,98.0,2,68.61290322580643
88,1979-08-01IND00011,1979-08-01,21.0,67.0,57.0,98.0,97.0,98.0,3,74.62903225806451
89,1979-08-01IND00012,1979-08-01,15.0,47.0,68.0,98.0,97.0,98.0,3,71.53225806451611
90,1979-08-01IND00028,1979-08-01,12.0,47.0,84.0,98.0,97.0,98.0,3,73.11290322580643
91,1979-08-17IND00013,1979-08-17,10.0,67.0,84.0,98.0,97.0,98.0,3,76.33870967741935
92,1979-08-23IND00025,1979-08-23,10.0,19.0,84.0,98.0,97.0,98.0,2,67.82258064516128
93,1979-08-31IND00004,1979-08-31,0.0,47.0,84.0,13.0,97.0,98.0,1,49.24193548387096
94,1979-09-01IND00009,1979-09-01,89.0,90.0,5.0,98.0,97.0,98.0,3,82.96774193548386
95,1979-09-01IND00010,1979-09-01,0.0,47.0,5.0,98.0,97.0,98.0,2,60.98387096774193
96,1979-09-01IND00011,1979-09-01,15.0,67.0,68.0,98.0,97.0,98.0,3,75.08064516129032
97,1979-09-01IND00012,1979-09-01,10.0,47.0,68.0,98.0,97.0,98.0,3,70.7258064516129
98,1979-09-01IND00028,1979-09-01,12.0,67.0,62.0,98.0,97.0,98.0,3,73.82258064516128
99,1979-09-03IND00023,1979-09-03,0.0,90.0,84.0,63.0,97.0,98.0,2,69.77419354838709
100,1979-09-07IND00004,1979-09-07,0.0,47.0,84.0,22.0,97.0,98.0,2,51.56451612903225
101,1979-09-20IND00013,1979-09-20,0.0,67.0,84.0,98.0,97.0,98.0,3,74.72580645161288
102,1979-09-22IND00024,1979-09-22,0.0,90.0,84.0,37.0,97.0,98.0,2,63.06451612903225
103,1979-09-26IND00025,1979-09-26,10.0,67.0,84.0,98.0,97.0,98.0,3,76.33870967741935
104,1979-10-01IND00009,1979-10-01,0.0,90.0,5.0,98.0,97.0,98.0,2,68.61290322580643
105,1979-10-01IND00010,1979-10-01,0.0,67.0,5.0,98.0,97.0,98.0,2,64.53225806451611
106,1979-10-01IND00011,1979-10-01,10.0,47.0,84.0,98.0,97.0,98.0,3,72.79032258064515
107,1979-10-01IND00012,1979-10-01,10.0,67.0,76.0,98.0,97.0,98.0,3,75.30645161290322
108,1979-10-01IND00028,1979-10-01,10.0,67.0,84.0,98.0,97.0,98.0,3,76.33870967741935
109,1979-10-01IND00029,1979-10-01,12.0,82.0,57.0,98.0,97.0,98.0,3,75.83870967741935
110,1979-10-12IND00002,1979-10-12,0.0,92.0,84.0,2.0,97.0,98.0,2,54.38709677419354
111,1979-10-16IND00023,1979-10-16,0.0,93.0,84.0,37.0,97.0,98.0,2,63.59677419354838
112,1979-10-16IND00024,1979-10-16,0.0,90.0,84.0,53.0,97.0,98.0,2,67.19354838709677
113,1979-10-18IND00013,1979-10-18,0.0,47.0,84.0,98.0,97.0,98.0,3,71.1774193548387
114,1979-10-25IND00004,1979-10-25,0.0,67.0,84.0,13.0,97.0,98.0,2,52.79032258064516
115,1979-10-25IND00025,1979-10-25,10.0,47.0,84.0,98.0,97.0,98.0,3,72.79032258064515
116,1979-10-29IND00033,1979-10-29,12.0,82.0,84.0,89.0,97.0,98.0,3,76.99999999999999
117,1979-10-30IND00007,1979-10-30,10.0,67.0,84.0,53.0,97.0,98.0,2,64.7258064516129
118,1979-10-30IND00034,1979-10-30,12.0,82.0,84.0,80.0,97.0,98.0,3,74.67741935483869
119,1979-11-01IND00009,1979-11-01,89.0,67.0,5.0,98.0,97.0,98.0,3,78.88709677419352
120,1979-11-01IND00010,1979-11-01,15.0,67.0,5.0,98.0,97.0,98.0,2,66.95161290322581
121,1979-11-01IND00011,1979-11-01,10.0,47.0,76.0,98.0,97.0,98.0,3,71.75806451612902
122,1979-11-01IND00012,1979-11-01,10.0,47.0,39.0,98.0,97.0,98.0,2,66.98387096774192
123,1979-11-01IND00028,1979-11-01,12.0,47.0,45.0,98.0,97.0,98.0,2,68.0806451612903
124,1979-11-01IND00029,1979-11-01,12.0,67.0,62.0,45.0,97.0,98.0,2,60.14516129032257
125,1979-11-07IND00002,1979-11-07,10.0,93.0,84.0,2.0,97.0,98.0,2,56.1774193548387
126,1979-11-11IND00023,1979-11-11,10.0,90.0,84.0,37.0,97.0,98.0,2,64.6774193548387
127,1979-11-11IND00024,1979-11-11,10.0,67.0,84.0,53.0,97.0,98.0,2,64.7258064516129
128,1979-11-20IND00004,1979-11-20,12.0,67.0,84.0,18.0,97.0,98.0,2,56.01612903225805
129,1979-11-21IND00001,1979-11-21,0.0,67.0,84.0,13.0,97.0,98.0,2,52.79032258064516
130,1979-11-22IND00033,1979-11-22,12.0,67.0,84.0,98.0,97.0,98.0,3,76.66129032258064
131,1979-11-22IND00034,1979-11-22,10.0,90.0,84.0,98.0,97.0,98.0,3,80.41935483870967
132,1979-11-28IND00013,1979-11-28,0.0,67.0,84.0,98.0,97.0,98.0,3,74.72580645161288
133,1979-11-28IND00025,1979-11-28,12.0,67.0,84.0,98.0,97.0,98.0,3,76.66129032258064
134,1979-12-01IND00009,1979-12-01,12.0,67.0,5.0,98.0,97.0,98.0,2,66.46774193548386
135,1979-12-01IND00010,1979-12-01,18.0,67.0,5.0,98.0,97.0,98.0,2,67.43548387096773
136,1979-12-01IND00011,1979-12-01,15.0,82.0,68.0,98.0,97.0,98.0,3,77.74193548387096
137,1979-12-01IND00012,1979-12-01,15.0,19.0,68.0,98.0,97.0,98.0,2,66.56451612903226
138,1979-12-01IND00028,1979-12-01,0.0,47.0,76.0,98.0,97.0,98.0,3,70.14516129032258
139,1979-12-01IND00029,1979-12-01,12.0,67.0,57.0,98.0,97.0,98.0,3,73.1774193548387
140,1979-12-02IND00025,1979-12-02,12.0,90.0,84.0,98.0,97.0,98.0,3,80.74193548387096
141,1979-12-12IND00024,1979-12-12,12.0,67.0,84.0,53.0,97.0,98.0,2,65.04838709677418
142,1979-12-13IND00002,1979-12-13,12.0,67.0,84.0,2.0,97.0,98.0,2,51.887096774193544
143,1979-12-13IND00013,1979-12-13,0.0,67.0,84.0,98.0,97.0,98.0,3,74.72580645161288
144,1979-12-18IND00023,1979-12-18,18.0,90.0,84.0,27.0,97.0,98.0,2,63.387096774193544
145,1979-12-19IND00034,1979-12-19,12.0,67.0,84.0,98.0,97.0,98.0,3,76.66129032258064
146,1979-12-20IND00033,1979-12-20,12.0,67.0,84.0,45.0,97.0,98.0,2,62.98387096774192
147,1979-12-30IND00001,1979-12-30,21.0,82.0,84.0,18.0,97.0,98.0,2,60.129032258064505
148,1980-01-01IND00001,1980-01-01,18.0,47.0,68.0,45.0,97.0,98.0,2,58.338709677419345
